Title,Abstract,DOI
Developmental Trajectories of Chinese Adolescents’ Relational Aggression: Associations With Changes in Social‐Psychological Adjustment,"This study investigated the development of relational aggression (RA) in a sample of Chinese youth ( N = 2,274, 52% boys) from fourth ( M age = 10.27 years) to ninth grade. Using latent class growth analysis, four trajectories were identified for both peer‐ and teacher‐rated RA: a no aggression trajectory, a low‐increasing trajectory, a moderate‐decreasing trajectory, and a chronically high trajectory. Chronically high RA showed a chronicity effect on adolescent peer acceptance, rejection, and rule‐breaking behaviors. Adolescents showed worse adjustment as RA increased, but they did not necessarily evidence significant improvement in adjustment even if their RA decreased. Findings reveal the maladaptive nature of RA and highlight the importance of considering cultural context in understanding RA.",https://doi.org/10.1111/cdev.13090,
From prison to the streets: Can importation work in reverse?,"The purpose of this study was to determine whether prison misconduct is capable of predicting rearrest and whether criminal thinking plays a role in this relationship. Two hypotheses, a variable-centered hypothesis and a person-centered hypothesis, were tested in a group of 951 male federal inmates, with results showing that at the variable level, prison misconduct predicted arrests for more serious crimes (person offenses) but not for less serious crimes (nonperson offenses). In an effort to examine the prison misconduct-community recidivism relationship at the person level, latent class growth analysis (LCGA) was performed on offending indicators across 3 nonoverlapping time periods: before prison (prior convictions), in prison (annual rate of incident reports), and after prison (total subsequent arrests). The LCGA results revealed a large decelerating pattern and 3 smaller accelerating patterns. Criminal thinking successfully distinguished between the 2 patterns after controlling for age and criminal history. The present findings suggest that prison can have a deterrent effect (decelerating pattern) or a criminogenic effect (accelerating patterns) after a person's release from prison and that criminal thinking may put one at risk for entry into the accelerating pattern. (PsycINFO Database Record",https://doi.org/10.1037/lhb0000213,
An Evaluation of Dual Systems Theories of Adolescent Delinquency in a Normative Longitudinal Cohort Study of Youth,"Abstract Dual systems theories of adolescent risk-taking propose that the socioemotional and self-regulation systems develop at different rates, resulting in a peak in sensation-seeking in adolescence at a time when self-regulation abilities are not yet fully mature. This “developmental imbalance” between bottom-up drives for reward and top-down control is proposed to create a period of vulnerability for high-risk behaviors such as delinquency, substance use, unprotected sex, and reckless driving. In this study, data from the Swiss longitudinal normative z-proso study ( n = 1522, n = 784 male; aged 11, 13, 15, 17, and 20) were used to test whether the presence of a developmental imbalance between sensation-seeking and self-regulation is associated with trajectories of engagement in delinquency across early adolescence to adulthood. Using a latent class growth analysis of sensation-seeking, self-regulation, and delinquency, it was found that a model with 3 classes was optimal in the whole sample and male sub-sample, including one class characterized by a developmental imbalance and corresponding adolescent peak in delinquency. In females, there was no evidence for a class that could be described according to the trajectories hypothesized in dual systems theory. This study’s results support the claim that a developmental imbalance may drive an adolescent increase in delinquency. However, this applies only to a small subgroup of individuals, particularly males.",https://doi.org/10.1007/s10964-021-01433-z,
Developmental Trajectories of Marijuana Use among Men,"Objectives: Examine whether young men who chronically use marijuana are at risk for engaging in drug-related and non-drug-related criminal offending and exhibiting psychopathic personality features in their mid-30s. Methods: Patterns of marijuana use were delineated in a sample of predominately Black and White young men from adolescence to the mid-20s using latent class growth curve analysis. Self-report and official records of criminal offending and psychopathic personality features were assessed in the mid-30s. Analyses controlled for multiple factors indicative of a preexisting antisocial lifestyle and co-occurring use of other substances and tested for moderation by race. Results: Four latent marijuana trajectory groups were identified: chronic high, adolescence-limited, late increasing, and low/nonusers. Relative to low/nonusers, chronic high and late increasing marijuana users exhibited more adult psychopathic features and were more likely to engage in drug-related offending during their mid-30s. Adolescence-limited users were similar to low/nonusers in terms of psychopathic features but were more likely to be arrested for drug-related crimes. No trajectory group differences were found for violence or theft, and the group differences were not moderated by race. Conclusions: Young men who engage in chronic marijuana use from adolescence into their 20s are at increased risk for exhibiting psychopathic features, dealing drugs, and enduring drug-related legal problems in their mid-30s relative to men who remain abstinent or use infrequently.",https://doi.org/10.1177/0022427815589816,
Patterns of adverse childhood experiences and depressive symptom trajectories in young adults: A longitudinal study of college students in China,"Background Adverse childhood experiences (ACEs) tend to cluster together in daily life, and most studies focus on the level of depression at certain points, but the dynamic process of depression is often neglected. Thus, research is urgently needed to explore the relationship between ACEs pattern and trajectory of depressive symptom levels at multiple time points in order to provides early targeted interventions to those who are most at risk. Objective We aimed to explore patterns of ACEs, including types and timing, associated with depression trajectories in college students. Methods A school-based health survey was used to collect data as part of a longitudinal study in two medical college in Anhui province, China. Questionnaires were issued to 3,662 participants aged 17–22 and recorded details of ACEs (types and timing) and depression. Latent class analysis (LCA) was used to identify “patterns” of ACEs type and timing. Depressive symptom trajectories employed latent class growth analysis (LCGA). Multiple logistic regressions were employed to evaluate the relationships between ACEs patterns and depressive symptom trajectories. Results We identified five ACEs patterns: “High neglect/emotional abuse/community violence,” “High neglect/emotional abuse,” “High neglect/family dysfunction,” “High neglect,” “Low ACEs.” We traced three depression trajectories: “High depressive symptom” “Moderate depressive symptom,” “Low depressive symptom.” “High neglect/emotional abuse/community violence,” “High neglect/emotional abuse” and “High neglect/family dysfunction” demonstrated a high risk for “High depressive symptom” and “Moderate depressive symptom.” “High neglect” showed a high risk for “Moderate depressive symptom” but not for “High depressive symptom” ( P &amp;lt; 0.05). Conclusions The findings address the need for a comprehensive consideration of exposure to childhood adversity associated with the risk of depression in young adults through identifying more problematic ACEs patterns amongst exposed children.",https://doi.org/10.3389/fpsyt.2022.918092,
Trajectory Analysis of the Campus Serial Rapist Assumption,"<h3>Importance</h3> Rape on college campuses has been addressed recently by a presidential proclamation, federal legislation, advocacy groups, and popular media. Many initiatives assume that most college men who perpetrate rape are serial rapists. The scientific foundation for this perspective is surprisingly limited. <h3>Objective</h3> To determine whether a group of serial rapists exists by identifying cohesive groups of young men, indicated by their trajectories of rape likelihood across high school and college. <h3>Design, Setting, and Participants</h3> Latent class growth analysis of the 2 largest longitudinal data sets of adolescent sexual violence on college campuses using 2 distinct groups of male college students. The first group was used for derivation modeling (n = 847; data collected from August 1990 through April 1995) and the second for validation modeling (n = 795; data collected from March 2008 through May 2011). Final data analyses were conducted from February 16, 2015, through February 20, 2015. <h3>Main Outcomes and Measures</h3> Rape perpetration assessed using the Sexual Experiences Survey. <h3>Results</h3> Across samples, 178 of 1642 participants (10.8%) reported having perpetrated at least 1 rape from 14 years of age through the end of college. A 3-trajectory model best fit both the derivation and validation data sets. Trajectories reflected low or time-limited (92.6% of participants), decreasing (5.3%), and increasing (2.1%) rape patterns. No consistently high trajectory was found. Most men who perpetrated a rape before college were classified in the decreasing trajectory. During college, the increasing trajectory included 14 men (15.2%) who reported having perpetrated a rape, the decreasing trajectory included 30 men (32.6%), and the low or time-limited included 48 men (52.2%). No participant in the low or time-limited trajectory reported perpetrating a rape during more than 1 period. Most men (67 [72.8%]) who committed college rape only perpetrated rape during 1 academic year. <h3>Conclusions and Relevance</h3> Although a small group of men perpetrated rape across multiple college years, they constituted a significant minority of those who committed college rape and did not compose the group at highest risk of perpetrating rape when entering college. Exclusive emphasis on serial predation to guide risk identification, judicial response, and rape-prevention programs is misguided. To deter college rape, prevention should be initiated before, and continue during, college. Child and adolescent health care professionals are well positioned to intervene during the early teenage years by informing parents about the early onset of nonconsensual sexual behavior.",https://doi.org/10.1001/jamapediatrics.2015.0707,
Trajectories of Screen Time across Adolescence and Their Associations with Adulthood Mental Health and Behavioral Outcomes,"Excessive screen time among adolescents is discussed as a significant public health concern. Identifying adolescent longitudinal patterns of time spent on regularly-used media screens and understanding their young adulthood mental health and behavioral issue correlates may help inform strategies for improving these outcomes. This study aimed to characterize joint developmental patterns of time spent on videogames, surfing/chatting the Internet, and TV/DVDs during adolescence (at ages 11, 13, 15, 17) and their associations with mental health (i.e., depression, anxiety, suicidal ideation, and self-injury) and behavioral issues (i.e., substance use, delinquency, aggression) in early adulthood (at age 20). A parallel-process latent class growth analysis was used to model data from a diverse community-ascertained sample of youth in Zurich, Switzerland (n = 1521; 51.7% males). Results suggested that a five-class model best fitted the data: (1) low-screen use, 37.6%; (2) increasing chatting/surfing, 24.0%; (3) moderate-screen use, 18.6%; (4) early-adolescence screen use, 9.9%; and (5) increasing videogame and chatting/surfing, 9.9%. After adjusting for baseline levels of outcomes (primarily at age 11), the trajectory groups differed in their associations with adulthood outcomes of mental health and behavioral problems, indicating the importance of problematic screen usage patterns in predicting these outcomes. Future research to test the directionality of these associations will be important. These findings suggest which patterns of screen use may be a marker for later mental health and behavioral issues in different domains.",https://doi.org/10.1007/s10964-023-01782-x,
"Moving into an urban drug scene among people who use drugs in Vancouver, Canada: Latent class growth analysis","Background Urban drug scenes are characterized by high prevalence of illicit drug dealing and use, violence and poverty, much of which is driven by the criminalization of people who use illicit drugs (PWUD) and the associated stigma. Despite significant public health needs, little is understood about patterns of moving into urban drug scenes among PWUD. Therefore, we sought to identify trajectories of residential mobility (hereafter 'mobility') among PWUD into the Downtown Eastside (DTES), an urban neighbourhood with an open drug scene in Vancouver, Canada, as well as characterize distinct trajectory groups among PWUD. Methods Data were derived from three prospective cohort studies of community-recruited PWUD in Vancouver between 2005 and 2016. We used latent class growth analysis (LCGA) to identify distinct patterns of moving into the DTES among participants residing outside of DTES at baseline. Multivariable multinomial logistic regression was used to determine baseline factors associated with each trajectory group. Results In total, 906 eligible participants (30.9% females) provided 9,317 observations. The LCGA assigned four trajectories: consistently living outside of DTES (52.8%); early move into DTES (11.9%); gradual move into DTES (19.5%); and move in then out (15.8%). Younger PWUD, those of Indigenous ancestry, those who were homeless or living in a single-room occupancy hotel (SRO), and those injecting drugs daily were more likely to move in then out of DTES (all p<0.05). Living in an SRO, daily injection drug use, and recent incarceration were also positively associated with early mobility (all p<0.05). Conclusions Nearly half of the participants moved into the DTES. Younger PWUD and Indigenous peoples appeared to have particularly high mobility, as did those with markers of social-structural vulnerability and high intensity drug use. These findings indicate a need to tailor existing social and health services within the DTES and expand affordable housing options outside the DTES.",https://doi.org/10.1371/journal.pone.0224993,
The GRoLTS-Checklist: Guidelines for Reporting on Latent Trajectory Studies,"Estimating models within the mixture model framework, like latent growth mixture modeling (LGMM) or latent class growth analysis (LCGA), involves making various decisions throughout the estimation process. This has led to a wide variety in how results of latent trajectory analysis are reported. To overcome this issue, using a 4-round Delphi study, we developed Guidelines for Reporting on Latent Trajectory Studies (GRoLTS). The purpose of GRoLTS is to present criteria that should be included when reporting the results of latent trajectory analysis across research fields. We have gone through a systematic process to identify key components that, according to a panel of experts, are necessary when reporting results for trajectory studies. We applied GRoLTS to 38 papers where LGMM or LCGA was used to study trajectories of posttraumatic stress after a traumatic event.",https://doi.org/10.1080/10705511.2016.1247646,
When Natural Disaster Follows Economic Downturn: The Incremental Impact of Multiple Stressor Events on Trajectories of Depression and Posttraumatic Stress Disorder,"Abstract Objective To determine whether there were incremental mental health impacts, specifically on depression trajectories, as a result of the 2008 economic crisis (the Great Recession) and subsequent Hurricane Sandy. Method Using latent growth mixture modeling and the ORANJ BOWL dataset, we examined prospective trajectories of depression among older adults (mean age, 60.67; SD, 6.86) who were exposed to the 2 events. We also collected community economic and criminal justice data to examine their impact upon depression trajectories. Participants (N=1172) were assessed at 3 times for affect, successful aging, and symptoms of depression. We additionally assessed posttraumatic stress disorder (PTSD) symptomology after Hurricane Sandy. Results We identified 3 prospective trajectories of depression. The majority (83.6%) had no significant change in depression from before to after these events (resilience), while 7.2% of the sample increased in depression incrementally after each event (incremental depression). A third group (9.2%) went from high to low depression symptomology following the 2 events (depressive-improving). Only those in the incremental depression group had significant PTSD symptoms following Hurricane Sandy. Conclusion We identified a small group of individuals for whom the experience of multiple stressful events had an incremental negative effect on mental health outcomes. These results highlight the importance of understanding the perseveration of depression symptomology from one event to another. ( Disaster Med Public Health Preparedness . 2019;13:173–182)",https://doi.org/10.1017/dmp.2018.12,
Trajectories of offending over 9 years after youths' first arrest: What predicts who desists and who continues to offend?,"Abstract Antisocial and illegal behavior generally declines as youth approach adulthood, but there is significant individual variation in the timing of the peak and decline of offending from adolescence to young adulthood. There are two primary research questions in the present study. First, are there subgroups of youth who follow similar patterns of offending over the nine years after their first arrest? Second, what baseline factors predict which youth will follow each pattern of offending? Data were drawn from the Crossroads study, which includes a sample of racially and ethnically diverse boys who were interviewed regularly for 9 years following their first arrest. Boys were between 13 and 17 years old at the start of the study and were approximately 24‐25 years old at the final interview. Trajectories were measured with youths' self‐reported offending using latent class growth analysis (LCGA). Results indicated that there were four subgroups of youth: a stable low group (55%), an escalating group (23%), a short‐term recidivist group (15%), and a persistently high group (7%). Several baseline factors distinguished the groups. In particular, the results indicated that youth who were informally processed after their first arrest were more likely to be in the low offending group than any of the other LCGA groups. Age at first arrest, peer delinquency, exposure to violence, substance use, callous‐unemotional traits, physical aggression, and perceptions of police legitimacy were also significantly related to group membership. Results suggest that certain risk factors identified after youths' first arrest may predict which youth continue to offend and which desist.",https://doi.org/10.1111/jora.12926,
Latent trajectories of adolescent antisocial behavior: Serotonin transporter linked polymorphic region (<i>5-HTTLPR</i>) genotype influences sensitivity to perceived parental support,"Although prevailing theories of antisocial behavior (ASB) emphasize distinct developmental trajectories, few studies have explored gene-environment interplay underlying membership in empirically derived trajectories. To improve knowledge about the development of overt (e.g., aggression) and covert (e.g., delinquency) ASB, we tested the association of the 44-base pair promoter polymorphism in the serotonin transporter linked polymorphic region gene (5-HTTLPR), perceived parental support (e.g., closeness and warmth), and their interaction with ASB trajectories derived using latent class growth analysis in 2,558 adolescents followed prospectively into adulthood from the National Longitudinal Study of Adolescent Health. Three distinct trajectories emerged for overt (low desisting, adolescent peak, and late onset) and covert ASB (high stable, low stable, and nonoffending). Controlling for sex, parental support inversely predicted membership in the adolescent-peak overt ASB trajectory (vs. low desisting), but was unrelated to class membership for covert ASB. Furthermore, the 5-HTTLPR genotype significantly moderated the association of parental support on overt ASB trajectory membership. It is interesting that the pattern of Gene × Environment interaction differed by trajectory class: whereas short allele carriers were more sensitive to parental support in predicting the late-onset trajectory, the long/long genotype functioned as a potential ""plasticity genotype"" for the adolescent-peak trajectory group. We discuss these preliminary findings in the context of the differential susceptibility hypothesis and discuss the need for future studies to integrate gene-environment interplay and prospective longitudinal designs.",https://doi.org/10.1017/s0954579416000031,
Posttraumatic stress disorder symptom trajectories within the first year following emergency department admissions: pooled results from the International Consortium to predict PTSD,"Abstract Background Research exploring the longitudinal course of posttraumatic stress disorder (PTSD) symptoms has documented four modal trajectories (low, remitting, high, and delayed), with proportions varying across studies. Heterogeneity could be due to differences in trauma types and patient demographic characteristics. Methods This analysis pooled data from six longitudinal studies of adult survivors of civilian-related injuries admitted to general hospital emergency departments (EDs) in six countries (pooled N = 3083). Each study included at least three assessments of the clinician-administered PTSD scale in the first post-trauma year. Latent class growth analysis determined the proportion of participants exhibiting various PTSD symptom trajectories within and across the datasets. Multinomial logistic regression analyses examined demographic characteristics, type of event leading to the injury, and trauma history as predictors of trajectories differentiated by their initial severity and course. Results Five trajectories were found across the datasets: Low (64.5%), Remitting (16.9%), Moderate (6.7%), High (6.5%), and Delayed (5.5%). Female gender, non-white race, prior interpersonal trauma, and assaultive injuries were associated with increased risk for initial PTSD reactions. Female gender and assaultive injuries were associated with risk for membership in the Delayed ( v. Low ) trajectory, and lower education, prior interpersonal trauma, and assaultive injuries with risk for membership in the High ( v. Remitting ) trajectory. Conclusions The results suggest that over 30% of civilian-related injury survivors admitted to EDs experience moderate-to-high levels of PTSD symptoms within the first post-trauma year, with those reporting assaultive violence at increased risk of both immediate and longer-term symptoms.",https://doi.org/10.1017/s0033291719004008,
"Trajectories of Self-control in a Forensic Psychiatric Sample: Stability and Association with Psychopathology, Criminal History, and Recidivism","The current study examined trajectories of two indicators of self-control—impulsivity and coping skills—in 317 forensic psychiatric patients, as well as associations with psychopathology, crime, and recidivism. Violent recidivism was positively associated with coping skills at admission to the clinic and with impulsivity at discharge. Only a small correlation was found between self-control and criminal history, and there was no association with psychopathology. We found multiple trajectories of self-control using Latent Class Growth Models: more than 89% improving over time. In addition, patients with Cluster C personality disorders showed greater improvement in coping skills. Patients showing less improvement in impulsivity had greater rates of crime and recidivism. We conclude that self-control can be influenced by interventions or treatment, and that both starting values and trajectories of self-control provide valuable information. Interestingly, the associations between self-control and psychopathology, crime and recidivism were not as strong as reported in other populations.",https://doi.org/10.1177/0093854819856051,
